Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score,PrevScore,ScoreDelta,Qty,CapitalUsed
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,A: Base near trigger,48250.0,49100.0,46535.0,55512.5,5.2,2.5,25.1,2.2,0.6,141.0,Yes,83.0,79.0,4,0,0.0
ETERNAL,Eternal Ltd.,Consumer Services,A: Base near trigger,335.0,344.4,310.8,428.4,9.8,2.5,30.0,2.3,0.8,985.0,Yes,78.0,76.0,2,14,4822.0
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,A: Base near trigger,333.7,346.15,322.7,404.77,6.8,2.5,10.7,2.5,0.9,132.0,Yes,67.0,71.0,-4,21,7269.0
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,A: Base near trigger,165.71,165.58,156.4,188.53,5.5,2.5,15.4,2.3,1.3,186.0,Yes,67.0,65.0,2,54,8941.0
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,A: Base near trigger,4988.5,5010.0,4755.5,5646.25,5.1,2.5,11.3,2.0,1.2,158.0,-,63.0,63.0,0,1,5010.0
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,A: Base near trigger,4557.1,4614.1,4298.8,5402.35,6.8,2.5,19.1,2.4,1.0,110.0,-,56.0,56.0,0,1,4614.0
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,A: Fresh breakout,1203.9,1203.9,1086.0,1465.4,9.8,2.22,11.7,2.3,1.6,144.0,-,56.0,56.0,0,4,4816.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,A: Base near trigger,1712.0,1740.0,1622.6,2033.5,6.7,2.5,11.8,2.1,0.8,135.0,-,47.0,52.0,-5,4,6960.0
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,A: Base near trigger,566.0,579.4,529.6,703.9,8.6,2.5,5.7,2.6,0.3,190.0,-,43.0,44.0,-1,10,5794.0
