Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score,PrevScore,ScoreDelta,Qty,CapitalUsed
ETERNAL,Eternal Ltd.,Consumer Services,A: Base near trigger,342.65,342.0,310.8,420.0,9.1,2.5,35.9,2.1,0.6,1028.0,Yes,78.0,82.0,-4,16,5472.0
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,A: Base near trigger,47955.0,49400.0,46410.0,56875.0,6.1,2.5,20.9,2.3,0.4,147.0,Yes,75.0,75.0,0,0,0.0
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,A: Base near trigger,340.85,346.15,322.7,404.77,6.8,2.5,14.7,2.4,0.6,125.0,Yes,69.0,55.0,14,21,7269.0
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,A: Fresh breakout,4601.9,4601.9,4298.8,5254.4,6.6,2.15,22.0,2.3,2.2,107.0,-,69.0,56.0,13,1,4602.0
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,A: Base near trigger,164.4,165.58,156.4,188.53,5.5,2.5,10.1,2.3,0.7,173.0,Yes,67.0,67.0,0,54,8941.0
POLICYBZR,PB Fintech Ltd.,Financial Services,A: Fresh breakout,1886.3,1886.3,1710.1,2286.05,9.3,2.27,18.4,3.2,1.9,237.0,-,65.0,43.0,22,2,3773.0
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,A: Base near trigger,2475.0,2492.0,2306.3,2956.25,7.5,2.5,16.6,2.1,1.3,112.0,-,64.0,50.0,14,2,4984.0
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,A: Base near trigger,4985.0,5025.0,4755.5,5698.75,5.4,2.5,12.0,2.1,1.0,155.0,-,52.0,52.0,0,1,5025.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,A: Base near trigger,1721.5,1738.9,1622.6,2029.65,6.7,2.5,12.3,2.2,1.2,132.0,-,50.0,49.0,1,4,6956.0
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,A: Base near trigger,423.1,439.9,406.0,524.65,7.7,2.5,7.0,2.9,0.8,285.0,-,50.0,41.0,9,14,6159.0
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,A: Base near trigger,572.5,579.4,525.25,714.78,9.3,2.5,7.8,2.7,0.8,214.0,-,46.0,45.0,1,9,5215.0
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,A: Base near trigger,1170.1,1178.0,1086.0,1408.0,7.8,2.5,7.9,2.3,0.9,147.0,-,41.0,41.0,0,5,5890.0
