Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score,PrevScore,ScoreDelta,Qty,CapitalUsed
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,A: Base near trigger,47750.0,49100.0,46410.0,55825.0,5.5,2.5,22.8,2.3,0.5,143.0,Yes,79.0,75.0,4,0,0.0
ETERNAL,Eternal Ltd.,Consumer Services,A: Base near trigger,335.5,344.4,310.8,428.4,9.8,2.5,33.3,2.2,0.5,996.0,Yes,76.0,78.0,-2,14,4822.0
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,A: Base near trigger,335.3,346.15,322.7,404.77,6.8,2.5,15.0,2.5,1.0,129.0,Yes,71.0,69.0,2,21,7269.0
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,A: Base near trigger,9602.0,9624.0,8923.0,11376.5,7.3,2.5,51.0,2.0,1.3,465.0,-,68.0,68.0,0,0,0.0
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,A: Base near trigger,162.5,165.58,156.4,188.53,5.5,2.5,12.1,2.3,2.0,181.0,Yes,65.0,67.0,-2,54,8941.0
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,A: Base near trigger,4481.3,4614.1,4298.8,5402.35,6.8,2.5,19.8,2.4,1.0,107.0,-,56.0,69.0,-13,1,4614.0
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,A: Fresh breakout,1180.3,1180.3,1086.0,1410.3,8.0,2.44,9.3,2.3,1.6,140.0,-,56.0,41.0,15,5,5902.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,A: Base near trigger,1716.0,1738.9,1622.6,2029.65,6.7,2.5,14.9,2.2,1.0,133.0,-,52.0,50.0,2,4,6956.0
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,A: Base near trigger,728.8,755.0,706.75,875.62,6.4,2.5,7.1,2.0,0.6,131.0,Yes,52.0,52.0,0,10,7550.0
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,A: Base near trigger,2430.4,2492.0,2306.3,2956.25,7.5,2.5,15.3,2.2,1.0,112.0,-,50.0,64.0,-14,2,4984.0
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,A: Base near trigger,564.25,579.4,529.6,703.9,8.6,2.5,6.6,2.6,0.4,198.0,-,44.0,46.0,-2,10,5794.0
