Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score,PrevScore,ScoreDelta,Qty,CapitalUsed
ETERNAL,Eternal Ltd.,Consumer Services,A: Base near trigger,323.5,332.95,315.8,375.83,5.2,2.5,30.3,2.3,0.6,1205.0,Yes,88.0,88.0,0,29,9656.0
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,A: Base near trigger,344.5,349.55,325.4,409.92,6.9,2.5,28.2,2.2,1.0,140.0,Yes,84.0,84.0,0,20,6991.0
LAURUSLABS,Laurus Labs Ltd.,Healthcare,A: Base near trigger,1969.0,1955.0,1790.0,2367.5,8.4,2.5,43.7,2.5,0.6,677.0,Yes,80.0,80.0,0,3,5865.0
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,A: Base near trigger,48385.0,50000.0,46410.0,58975.0,7.2,2.5,26.6,2.2,0.5,185.0,Yes,79.0,79.0,0,0,0.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,A: Base near trigger,1679.8,1717.0,1598.8,2012.5,6.9,2.5,21.2,2.3,0.6,136.0,Yes,75.0,75.0,0,4,6868.0
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,A: Base near trigger,4965.5,5066.0,4823.0,5673.5,4.8,2.5,13.1,2.1,0.9,140.0,Yes,74.0,74.0,0,2,10132.0
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,A: Base near trigger,164.45,170.68,159.92,197.58,6.3,2.5,13.5,2.4,1.2,182.0,Yes,73.0,73.0,0,46,7851.0
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,B: Pullback to MA,4125.0,4160.2,4042.49,4484.5,2.8,2.76,22.0,2.4,0.5,369.0,Yes,73.0,73.0,0,4,16641.0
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,A: Base near trigger,431.0,442.65,408.15,528.9,7.8,2.5,14.5,2.8,1.0,292.0,-,58.0,58.0,0,14,6197.0
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,A: Base near trigger,3276.0,3400.0,3124.34,4089.14,8.1,2.5,15.7,3.1,0.7,748.0,-,57.0,57.0,0,1,3400.0
HAL,Hindustan Aeronautics Ltd.,Capital Goods,A: Base near trigger,4905.0,5097.4,4707.0,6073.4,7.7,2.5,16.6,2.2,0.8,454.0,-,50.0,50.0,0,1,5097.0
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,A: Base near trigger,1026.5,1060.2,968.55,1289.32,8.6,2.5,10.6,2.8,0.5,128.0,-,49.0,49.0,0,5,5301.0
