Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score,PrevScore,ScoreDelta,Qty,CapitalUsed
ETERNAL,Eternal Ltd.,Consumer Services,A: Base near trigger,335.9,332.95,310.8,388.33,6.7,2.5,33.9,2.3,0.6,1071.0,Yes,84.0,83.0,1,22,7325.0
LAURUSLABS,Laurus Labs Ltd.,Healthcare,A: Base near trigger,2017.5,1982.0,1811.7,2407.75,8.6,2.5,41.6,2.5,0.6,690.0,-,69.0,70.0,-1,2,3964.0
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,A: Base near trigger,4480.0,4603.0,4298.8,5363.5,6.6,2.5,22.3,2.3,1.9,102.0,-,63.0,63.0,0,1,4603.0
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,A: Fresh breakout,745.0,745.0,701.55,848.63,5.8,2.39,5.5,2.0,1.7,126.0,Yes,62.0,62.0,0,11,8195.0
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,A: Base near trigger,336.0,349.55,322.7,416.67,7.7,2.5,12.5,2.4,1.0,136.0,Yes,57.0,57.0,0,18,6292.0
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,B: Pullback to MA,478.35,483.26,469.64,514.45,2.8,2.29,17.5,2.5,0.4,113.0,-,57.0,57.0,0,36,17397.0
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,A: Base near trigger,2450.0,2532.4,2306.3,3097.65,8.9,2.5,15.3,2.3,0.9,113.0,-,56.0,57.0,-1,2,5065.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,A: Base near trigger,1713.4,1734.0,1622.6,2012.5,6.4,2.5,14.8,2.2,1.2,127.0,-,53.0,63.0,-10,4,6936.0
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,A: Base near trigger,4970.0,5066.0,4755.5,5842.25,6.1,2.5,13.2,2.1,1.2,153.0,-,52.0,52.0,0,1,5066.0
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,A: Base near trigger,1161.0,1187.0,1086.0,1439.5,8.5,2.5,8.6,2.5,0.7,148.0,-,49.0,51.0,-2,4,4748.0
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,A: Base near trigger,568.0,579.4,525.25,714.78,9.3,2.5,8.1,2.8,0.9,224.0,-,48.0,48.0,0,9,5215.0
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,A: Base near trigger,433.4,442.65,406.0,534.27,8.3,2.5,10.8,2.8,0.8,281.0,-,42.0,57.0,-15,13,5754.0
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,A: Base near trigger,403.4,410.05,378.0,490.17,7.8,2.5,5.0,2.4,0.6,101.0,-,37.0,57.0,-20,15,6151.0
