Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score,PrevScore,ScoreDelta,Qty,CapitalUsed
ETERNAL,Eternal Ltd.,Consumer Services,A: Base near trigger,326.85,332.95,310.8,388.33,6.7,2.5,29.0,2.3,0.5,1072.0,Yes,83.0,81.0,2,22,7325.0
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,A: Base near trigger,9375.0,9615.0,8923.0,11345.0,7.2,2.5,42.3,2.1,1.4,469.0,-,78.0,86.0,-8,0,0.0
LAURUSLABS,Laurus Labs Ltd.,Healthcare,A: Base near trigger,1954.0,1981.8,1811.7,2407.05,8.6,2.5,38.9,2.6,0.7,691.0,-,70.0,78.0,-8,2,3964.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,A: Fresh breakout,1734.0,1734.0,1605.7,2012.25,7.4,2.17,19.0,2.3,1.6,127.0,-,63.0,74.0,-11,3,5202.0
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,A: Base near trigger,410.05,410.35,378.0,491.23,7.9,2.5,9.6,2.4,1.9,103.0,-,57.0,57.0,0,15,6155.0
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,A: Base near trigger,439.9,442.65,406.0,534.27,8.3,2.5,13.1,2.8,1.2,279.0,-,57.0,54.0,3,13,5754.0
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,A: Base near trigger,2447.4,2535.08,2306.3,3107.02,9.0,2.5,15.2,2.3,1.1,117.0,-,57.0,57.0,0,2,5070.0
LTF,L&T Finance Ltd.,Financial Services,A: Base near trigger,312.8,323.65,293.8,398.28,9.2,2.5,11.1,2.8,1.3,113.0,-,54.0,54.0,0,16,5178.0
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,A: Base near trigger,1160.0,1198.9,1086.0,1481.15,9.4,2.5,7.2,2.5,2.2,148.0,-,51.0,51.0,0,4,4796.0
