Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score,PrevScore,ScoreDelta,Qty,CapitalUsed
LAURUSLABS,Laurus Labs Ltd.,Healthcare,A: Base near trigger,1905.5,1981.8,1796.5,2445.05,9.4,2.5,42.8,2.6,0.8,679.0,Yes,79.0,76.0,3,2,3964.0
POLICYBZR,PB Fintech Ltd.,Financial Services,A: Base near trigger,1827.1,1875.0,1736.0,2222.5,7.4,2.5,16.1,3.0,1.8,202.0,-,64.0,64.0,0,3,5625.0
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,B: Pullback to MA,158.27,160.72,155.62,173.27,3.2,2.46,12.5,2.5,0.9,170.0,Yes,58.0,58.0,0,98,15751.0
