Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score,PrevScore,ScoreDelta,Qty,CapitalUsed
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,A: Base near trigger,339.9,349.55,328.0,403.42,6.2,2.5,27.9,2.2,0.4,140.0,Yes,82.0,84.0,-2,23,8040.0
LAURUSLABS,Laurus Labs Ltd.,Healthcare,A: Base near trigger,1938.9,1981.8,1790.0,2461.3,9.7,2.5,43.9,2.5,0.3,673.0,Yes,75.0,80.0,-5,2,3964.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,A: Base near trigger,1662.5,1717.0,1598.8,2012.5,6.9,2.5,22.0,2.3,0.3,131.0,Yes,74.0,75.0,-1,4,6868.0
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,B: Pullback to MA,4421.7,4439.86,4308.45,4747.0,3.0,2.34,27.1,2.2,0.6,107.0,-,67.0,67.0,0,3,13320.0
