Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score,PrevScore,ScoreDelta,Qty,CapitalUsed
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,A: Base near trigger,9323.0,9615.0,8923.0,11345.0,7.2,2.5,41.6,2.1,1.0,445.0,Yes,86.0,86.0,0,0,0.0
ETERNAL,Eternal Ltd.,Consumer Services,A: Base near trigger,322.35,332.95,310.8,388.33,6.7,2.5,25.7,2.3,0.8,1135.0,Yes,81.0,81.0,0,22,7325.0
LAURUSLABS,Laurus Labs Ltd.,Healthcare,A: Base near trigger,1948.1,1981.8,1811.7,2407.05,8.6,2.5,41.6,2.6,0.5,682.0,Yes,78.0,79.0,-1,2,3964.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,A: Base near trigger,1690.0,1717.0,1605.7,1995.25,6.5,2.5,16.5,2.3,1.0,125.0,Yes,74.0,74.0,0,4,6868.0
PERSISTENT,Persistent Systems Ltd.,Information Technology,B: Pullback to MA,5473.0,5513.0,5343.65,5910.0,3.1,2.34,16.7,2.7,0.5,258.0,Yes,65.0,65.0,0,2,11026.0
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,A: Base near trigger,429.2,442.65,406.0,534.27,8.3,2.5,8.4,2.9,1.4,270.0,-,54.0,54.0,0,13,5754.0
