Symbol,Company,Industry,Setup,Close,Entry,Stop,Target,Risk_pct,RR,RS_3m,ATR_pct,Vol_x,Turnover_cr,TopSector,Score
LAURUSLABS,Laurus Labs Ltd.,Healthcare,A: Base near trigger,1945.0,1955.0,1818.15,2297.12,7.0,2.5,40.1,2.5,0.3,667.0,Yes,100.0
ETERNAL,Eternal Ltd.,Consumer Services,A: Base near trigger,322.1,332.95,315.8,375.83,5.2,2.5,32.7,2.2,0.4,1210.0,Yes,96.0
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,A: Base near trigger,48775.0,50000.0,46500.0,58750.0,7.0,2.5,26.3,2.2,0.7,188.0,Yes,95.0
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,A: Base near trigger,341.95,349.55,325.4,409.93,6.9,2.5,25.6,2.2,0.7,146.0,Yes,95.0
PAYTM,One 97 Communications Ltd.,Financial Services,A: Base near trigger,1739.0,1758.9,1635.78,2066.71,7.0,2.5,62.5,3.2,0.4,651.0,-,93.0
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,A: Base near trigger,1668.4,1717.0,1598.8,2012.5,6.9,2.5,13.9,2.4,0.9,140.0,Yes,81.0
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,A: Base near trigger,2194.8,2272.25,2113.19,2669.89,7.0,2.5,20.8,2.4,0.4,142.0,-,76.0
OFSS,Oracle Financial Services Software Ltd.,Information Technology,B: Pullback to MA,11725.0,11837.63,11492.25,12540.0,2.9,2.03,25.7,2.8,0.8,252.0,Yes,74.0
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,A: Base near trigger,3300.0,3400.0,3162.0,3995.0,7.0,2.5,14.9,3.0,0.6,741.0,-,71.0
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,A: Base near trigger,429.5,442.65,411.66,520.11,7.0,2.5,13.2,2.7,0.6,302.0,-,70.0
POLICYBZR,PB Fintech Ltd.,Financial Services,A: Base near trigger,1800.0,1875.0,1757.0,2170.0,6.3,2.5,16.9,2.6,0.4,196.0,-,70.0
HAL,Hindustan Aeronautics Ltd.,Capital Goods,A: Base near trigger,4950.0,5097.4,4740.58,5989.44,7.0,2.5,18.9,2.2,0.7,474.0,-,66.0
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,A: Base near trigger,1859.0,1925.0,1790.25,2261.88,7.0,2.5,19.2,2.4,2.7,182.0,-,64.0
CONCOR,Container Corporation of India Ltd.,Services,A: Base near trigger,504.15,524.25,493.05,602.25,6.0,2.5,10.7,2.4,0.8,64.0,-,64.0
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,B: Pullback to MA,4460.0,4493.97,4368.05,4747.0,2.8,2.01,25.1,2.1,0.5,114.0,-,64.0
